Anime ID,Title,Members,Favorites,Airing_Start,Airing_End,Episodes,Duration,Broadcast_Day,Watch Hours,Countries Available,Awards Won,Dub Availability,User_Reviews,Score
416,Ability enter," 9,11,462 ",34151,16-08-2017,Still Airing,415,38.66009506,Saturday," 14,62,34,946 ",27,7,Yes,6499,5.272
447,Although," 8,63,683 ",11442,17-06-2036,08-09-2017,53,57.93091819,Monday," 10,23,76,569 ",18,6,Yes,10802,3.190
471,Dog office into," 6,72,557 ",25941,14-10-2016,07-07-2017,38,42,Thursday," 5,91,11,950 ",9,8,Yes,6757,9.790
556,Fall kitchen through," 6,60,084 ",29412,26-11-2020,Still Airing,222,49,Saturday," 5,72,36,652 ",6,7,Partial,7514,9.430
723,Decision service," 7,70,710 ",48962,01-05-2018,15-01-2019,37,50,Sunday," 2,17,48,928 ",9,4,Yes,11770,9.480
759,Action clearly short," 6,33,092 ",45671,26-03-2115,Still Airing,135,42.79825921,Sunday," 13,50,55,953 ",12,7,Partial,13591,3.770
762,Admit place," 8,29,591 ",40076,23-01-1974,30-12-2016,33,17.93636992,Wednesday," 10,36,74,410 ",17,5,Yes,13769,5.615
880,Edge music," 7,59,278 ",6105,18-11-2018,23-02-2020,66,38,Sunday," 13,95,63,404 ",23,8,No,14048,9.330
1400,Boy game," 8,65,156 ",8006,15-12-2020,05-04-2022,68,38,Friday," 8,88,63,792 ",29,8,Yes,10090,8.110
1481,Area mission," 7,49,487 ",49456,17-07-1976,18-03-2019,30,30.05670961,Saturday," 7,84,70,694 ",15,7,Yes,12946,5.070
1658,Expect must south," 7,45,033 ",41193,14-12-2018,29-11-2019,50,56,Friday," 8,47,25,895 ",17,8,Yes,8290,9.780
1831,Arrive turn go," 7,31,397 ",42446,08-05-2032,11-04-2019,11,48.36129792,Monday," 5,00,99,640 ",6,6,Partial,7251,2.590
1844,Carry wonder," 6,63,355 ",4340,05-11-2022,18-02-2023,15,60,Sunday," 10,68,65,169 ",11,4,Partial,6868,9.370
2275,Accept inside information," 7,47,915 ",42539,08-08-2105,22-07-2024,82,39.34303023,Monday," 11,01,61,144 ",7,7,No,8251,3.660
