Anime ID,Title,Production Budget,Streaming Cost,Merchandise revenue,Streaming revenues,Total revenues,Streaming Platform,Countries Available,Awards Won
416,Ability enter," 6,70,11,65,200 "," 57,10,21,410 "," 52,62,14,917 "," 1,06,65,53,748 "," 1,72,44,04,100 ",YouTube PremiumApple TV+,27,7
447,Although," 10,03,16,57,200 "," 20,09,73,320 "," 45,17,12,690 "," 33,16,05,978 ",$501010562.07422,Hulu,18,6
471,Dog office into," 5,11,66,90,200 "," 41,19,52,604 "," 53,95,05,056 "," 67,97,21,797 "," 1,18,78,73,614 ",Apple TV+Hulu,9,8
556,Fall kitchen through," 13,06,95,47,800 "," 53,77,23,903 "," 48,67,27,371 "," 88,72,44,440 "," 1,55,52,99,621 ",Hulu,6,7
723,Decision service," 3,76,63,20,000 "," 42,02,89,755 "," 68,96,88,136 "," 69,34,78,096 "," 1,23,40,00,937 ",YouTube PremiumVRV,9,4
759,Action clearly short," 15,34,19,60,200 "," 15,69,41,462 "," 52,63,13,234 "," 42,04,63,342 "," 63,29,27,291 ",Apple TV+,12,7
762,Admit place," 8,12,50,27,200 "," 27,57,02,153 "," 42,22,57,508 "," 45,49,08,552 "," 65,32,74,252 ",Netflix,17,5
880,Edge music," 8,32,47,09,400 "," 40,26,34,770 "," 37,31,23,359 "," 66,43,47,371 "," 1,00,83,83,211 ",Hulu,23,8
1400,Boy game," 8,67,97,07,600 "," 27,22,80,283 "," 29,17,45,910 "," 89,19,64,936 "," 1,27,46,47,303 ",TubiFunimationYouTube Premium,29,8
1481,Area mission," 3,42,34,97,600 "," 49,34,47,137 "," 86,99,26,589 ",$816057348.957311," 1,21,62,09,201 ",HBO Max,15,7
1658,Expect must south," 8,43,67,81,400 "," 58,16,43,844 "," 48,83,58,686 "," 95,97,12,343 "," 1,43,69,00,519 ",NetflixHulu,17,8
1831,Arrive turn go," 2,31,43,99,000 "," 48,59,88,637 "," 61,70,88,693 "," 1,20,95,49,756 ",$1824345687.5728,YouTube Premium,6,6
1844,Carry wonder," 1,80,82,04,200 "," 31,65,79,118 "," 34,54,59,724 "," 59,20,08,990 "," 1,04,31,52,181 ",Amazon PrimeHulu,11,4
2275,Accept inside information," 7,43,15,94,400 "," 24,43,66,461 "," 55,83,57,040 "," 84,45,12,636 "," 1,30,48,74,775 ",HuluCrunchyrollDisney+,7,7
2368,Argue south," 5,93,68,32,600 "," 47,49,79,210 "," 40,52,32,007 "," 78,37,15,697 "," 1,38,20,09,501 ",VRV,4,7
2547,Avoid seek," 15,13,87,78,000 ",$440186053," 33,77,42,663 "," 72,63,06,987 "," 1,06,96,47,308 ",Tubi,8,4
2618,Artist focus big spring," 15,32,31,98,200 "," 15,99,75,657 "," 44,57,29,320 "," 43,75,15,977 "," 75,47,39,305 ",NetflixVRVFunimation,26,4
3171,At spend well," 9,40,03,47,400 "," 47,15,80,883 "," 21,96,82,797 "," 77,81,08,457 "," 1,26,31,42,935 ",YouTube PremiumTubi,1,4
3239,City report," 6,24,31,89,200 "," 30,89,46,083 "," 61,25,78,099 "," 50,97,61,037 "," 91,91,57,432 ",YouTube PremiumCrunchyroll,12,6
3355,Ever as group," 18,33,56,61,800 "," 44,99,12,781 "," 39,03,88,262 "," 74,23,56,089 "," 1,22,37,98,323 ",CrunchyrollAmazon PrimeHulu,7,8
3467,Appear trade peace," 7,04,92,32,800 "," 49,19,26,774 "," 28,46,33,640 "," 81,16,79,177 "," 1,33,70,15,454 ",HuluYouTube Premium,18,6
3702,Above focus pretty," 28,81,10,200 ",$299592330," 44,16,63,660 "," 82,92,76,538 "," 1,50,76,51,552 ",NetflixVRVHulu,15,4
3833,End almost,$9407156800," 54,85,09,112 "," 60,00,15,802 "," 90,50,40,035 "," 1,48,91,73,009 ",VRV,9,8
3876,Ago including," 11,53,59,86,600 "," 40,62,87,923 "," 64,98,83,493 "," 86,55,45,367 "," 1,34,98,40,016 ",VRVNetflix,16,7
3915,Discover child play," 7,58,05,87,000 "," 32,30,09,089 "," 35,98,94,870 "," 53,29,64,997 "," 78,10,72,554 ",NetflixDisney+Amazon Prime,28,6
4037,Benefit law," 3,53,56,53,000 "," 53,98,15,098 "," 66,12,97,180 "," 1,00,41,08,885 ",$1669168774.84484,YouTube PremiumNetflixCrunchyroll,6,4
4554,Another leave," 10,02,62,74,200 "," 52,94,23,475 "," 50,32,96,148 "," 1,00,98,37,063 "," 1,78,39,43,636 ",Disney+,12,8
4601,Employee join natural,$2094881800," 19,69,85,829 "," 66,66,27,049 "," 1,35,79,31,539 "," 2,04,20,45,633 ",Disney+,29,7
4753,Common later," 4,46,16,34,000 "," 39,74,45,993 "," 89,23,59,300 "," 1,41,22,33,211 "," 2,19,19,48,942 ",TubiCrunchyroll,20,6
5064,Actually reach fall," 10,06,79,83,600 "," 56,93,66,682 "," 26,60,96,423 "," 93,94,55,025 "," 1,37,23,38,381 ",HBO Max,7,5
5232,After happy including," 19,80,87,58,400 "," 51,99,18,261 "," 61,01,40,171 ",$857865130.65," 1,25,48,62,866 ",VRV,4,8
5295,Down food," 9,13,63,09,400 "," 50,85,99,474 "," 34,52,73,467 "," 83,91,89,132 "," 1,32,47,15,221 ",HuluCrunchyrollDisney+,18,4
5553,Child up mouth," 2,28,67,63,600 "," 51,56,32,588 ",$733524458.922159," 85,07,93,770 "," 1,52,59,49,615 ",HuluTubiApple TV+,20,7
5627,Above change," 1,56,41,09,200 "," 46,49,01,986 "," 32,29,31,620 "," 76,70,88,277 "," 1,14,72,84,776 ",HuluNetflix,15,7
5634,Door pattern anyone short," 2,66,92,89,600 "," 40,22,56,206 "," 42,27,76,316 "," 66,37,22,740 ",$1131480748.70263,CrunchyrollHuluHBO Max,30,8
5651,Conference true he," 19,18,09,57,400 "," 47,72,87,776 "," 29,48,79,694 ",$787524830.4," 1,15,55,46,259 ",YouTube Premium,8,5
5690,Book," 15,70,10,04,400 "," 51,95,10,273 "," 47,86,61,020 "," 1,37,25,34,956 "," 2,11,07,29,970 ",TubiApple TV+,22,6
5735,Allow," 12,47,41,53,600 "," 55,46,86,173 "," 59,90,75,255 "," 91,52,32,185 "," 1,49,38,88,748 ",Crunchyroll,20,6
5771,Analysis hospital," 7,79,82,54,400 "," 57,72,51,946 "," 33,56,08,356 "," 95,24,65,711 "," 1,62,73,81,032 ",Apple TV+,10,5
5853,Available discussion," 9,81,52,20,800 "," 38,46,02,869 ",$558422496.679649," 79,19,54,243 "," 1,28,92,75,100 ",Hulu,24,7
5966,Example operation there," 11,77,81,05,200 "," 47,67,28,525 "," 76,97,37,087 "," 78,66,02,066 "," 1,28,82,83,441 ",Amazon PrimeDisney+,4,4
6163,Edge himself," 2,51,16,40,400 "," 51,09,46,970 "," 64,06,82,882 "," 84,30,62,501 "," 1,30,30,05,181 ",Apple TV+,21,7
6186,Budget sit production hard," 5,55,96,91,200 "," 53,14,36,788 "," 38,76,59,367 "," 87,68,70,700 "," 1,35,23,34,171 ",VRVNetflixCrunchyroll,7,7
6494,Fall avoid law," 3,32,97,25,000 "," 45,80,32,358 "," 21,61,68,648 "," 75,57,53,391 "," 1,18,66,85,590 ",YouTube PremiumHuluHBO Max,27,8
6712,Conference human," 2,48,96,86,200 "," 45,82,07,032 "," 65,40,43,312 "," 1,01,64,50,296 "," 1,77,57,68,299 ",FunimationDisney+,12,8
6872,Decision trip," 89,77,88,200 "," 49,02,11,760 ",$364796826.185485," 92,51,03,373 "," 1,57,96,46,873 ",TubiDisney+,11,7
7109,Any," 4,44,04,96,200 "," 35,88,07,783 "," 36,18,22,025 "," 59,20,32,842 "," 91,73,05,175 ",YouTube PremiumAmazon Prime,29,5
7228,Also though,$14373896600," 46,38,76,398 "," 62,38,75,540 "," 76,53,96,057 "," 1,09,51,49,333 ",Netflix,10,8
7607,Address company," 2,25,05,56,000 "," 53,78,82,590 "," 27,35,95,806 "," 88,75,06,274 "," 1,31,34,71,235 ",YouTube Premium,4,8
7847,Establish should," 7,33,88,45,400 "," 22,69,23,255 ",$377011334.777172," 65,82,71,330 "," 1,00,99,61,505 ",Apple TV+Netflix,22,5
8232,Build fast dream attention," 5,97,88,87,600 "," 58,98,69,565 "," 52,18,74,136 ",$1095328019.20684," 1,58,75,52,328 ",Disney+,18,5
8403,Among set face," 8,19,40,57,800 ",$256907062," 67,17,93,275 "," 81,80,55,661 "," 1,19,01,29,845 ",VRVCrunchyroll,24,6
8487,Congress guess,$6654937200," 38,39,30,518 "," 54,44,86,012 "," 63,34,85,355 "," 1,14,44,70,612 ",Netflix,8,7
8964,Direction Congress effect," 2,06,25,05,800 "," 59,96,41,388 "," 35,87,32,412 "," 98,94,08,290 "," 1,53,77,54,313 ",TubiHBO Max,9,8
9042,Carry live too," 8,49,81,73,000 "," 48,60,03,947 "," 41,84,92,792 "," 80,19,06,513 "," 1,21,27,96,950 ",VRVFunimationHulu,14,8
9116,Across book check," 57,22,72,200 "," 55,95,48,698 "," 47,08,23,716 "," 92,32,55,352 ",$1349300672.55513,NetflixFunimation,28,7
9634,Both week production," 12,04,26,43,600 "," 10,60,48,980 "," 41,18,62,330 "," 49,82,60,005 "," 89,77,70,726 ",Amazon Prime,15,6
9724,Economic somebody," 12,43,42,97,200 ",$298079325," 36,89,96,776 "," 49,18,30,886 "," 70,69,31,028 ",Crunchyroll,29,8
9882,Describe develop," 6,11,37,67,200 "," 43,80,51,914 "," 42,49,09,840 "," 91,97,88,010 ",$1408244697.48749,Amazon PrimeHBO MaxTubi,9,7
9926,Cup own describe," 2,05,73,29,600 "," 41,13,55,845 ",$588191910.09565," 67,87,37,144 "," 1,11,61,19,678 ",Apple TV+Crunchyroll,16,7
10128,Computer pretty bad," 13,86,32,32,400 "," 36,24,64,665 "," 38,69,53,961 "," 59,80,66,697 "," 96,11,51,569 ",HBO Max,18,8
10153,Check society American," 3,57,33,41,200 "," 13,42,28,977 ",$485526088.580947," 45,75,63,034 "," 71,81,94,179 ",Amazon Prime,5,7
10279,Blood," 6,21,62,47,000 "," 44,15,12,094 "," 31,50,16,575 "," 72,84,94,955 "," 1,28,51,01,379 ",VRVAmazon Prime,19,8
10386,Almost from," 54,02,11,800 "," 50,58,09,574 ",$479092231.049262," 83,45,85,797 "," 1,37,99,02,856 ",Amazon Prime,24,4
10507,Center reason story," 10,13,90,03,000 "," 47,96,55,131 "," 45,33,20,052 "," 79,14,30,966 "," 1,13,91,33,517 ",NetflixDisney+VRV,1,8
10578,Choose dog coach my," 11,29,17,03,200 "," 44,86,28,079 "," 24,65,93,185 ",$740236330.35," 1,06,42,71,506 ",Crunchyroll,27,5
10596,Account history with from," 8,74,73,22,200 "," 26,13,13,166 ",$493724772.041667," 45,00,32,091 "," 65,26,62,076 ",Amazon PrimeDisney+Apple TV+,20,7
10662,Choice decade adult," 6,58,89,84,000 "," 56,43,97,511 "," 42,60,45,321 "," 93,12,55,893 "," 1,56,74,29,869 ",Amazon Prime,12,7
10953,Black Democrat," 18,50,02,00,800 "," 38,33,51,446 "," 65,43,26,468 "," 63,25,29,886 "," 91,11,46,316 ",Disney+Amazon Prime,6,5
11393,Beautiful your," 8,59,48,72,800 "," 41,90,19,230 "," 58,12,08,843 "," 69,13,81,730 "," 1,22,56,01,470 ",Apple TV+,21,4
11574,Almost attack," 20,15,18,75,400 "," 52,19,18,785 ",$759318003.280193," 86,11,65,995 "," 1,50,80,93,898 ",Hulu,7,4
12025,Anything particularly once," 3,31,12,56,600 "," 20,36,93,042 "," 67,83,60,513 "," 64,76,60,283 "," 1,01,24,36,556 ",CrunchyrollHBO MaxFunimation,15,7
12123,Consider when board," 2,05,28,03,800 "," 32,79,31,736 "," 38,41,12,061 "," 68,20,40,412 "," 1,19,28,84,913 ",Disney+FunimationTubi,14,6
12502,Factor become alone," 6,28,79,62,600 "," 56,33,72,416 "," 57,45,31,802 ",$929564486.4," 1,51,60,76,702 ",NetflixAmazon Prime,15,8
12541,Also day worry," 2,00,99,06,800 "," 19,19,02,358 "," 44,99,08,690 "," 40,08,22,603 "," 72,14,61,558 ",Funimation,2,8
13027,Concern small she," 1,77,71,23,600 "," 41,04,55,357 "," 56,05,41,668 "," 67,72,51,339 "," 1,21,33,59,872 ",Disney+Amazon PrimeFunimation,13,6
13047,Eight have," 4,02,95,78,600 "," 43,79,18,637 "," 48,87,85,386 "," 72,25,65,751 "," 1,05,98,74,762 ",Apple TV+Netflix,6,6
13128,Cultural a," 2,30,90,96,000 "," 36,07,09,029 "," 24,07,41,711 "," 59,51,69,898 "," 1,01,86,42,692 ",NetflixTubi,16,6
13203,Along important," 18,98,54,41,400 "," 46,36,54,095 "," 56,79,67,582 ",$765029256.75," 1,11,78,97,604 ",CrunchyrollNetflix,26,6
13371,Can culture," 6,09,69,36,800 "," 38,42,75,850 "," 41,85,86,912 "," 63,40,55,153 "," 1,14,89,25,972 ",HBO MaxHulu,20,6
13373,Control officer detail," 9,22,88,81,600 "," 22,85,01,992 "," 65,92,22,001 "," 42,94,34,682 "," 62,21,10,989 ",HuluTubiAmazon Prime,3,7
13407,Administration personal teach light," 2,21,86,45,000 "," 45,30,33,677 "," 47,14,01,178 "," 74,75,05,567 ",$1101531690.3273,Disney+,17,6
13521,Congress notice," 2,77,24,46,000 "," 30,95,84,417 "," 48,42,94,649 "," 52,88,43,071 "," 82,53,31,777 ",HBO MaxFunimationApple TV+,4,7
13720,Admit every dream," 3,36,86,41,600 "," 56,56,02,534 "," 37,32,35,804 "," 93,32,44,181 "," 1,55,80,32,101 ",FunimationApple TV+Tubi,28,8
13740,Environmental still agreement," 19,06,73,78,000 "," 49,35,39,792 ",$400420109.335477," 81,43,40,657 "," 1,24,59,01,530 ",CrunchyrollTubiYouTube Premium,16,4
14434,Benefit shake different," 15,09,31,24,600 ",$537907799," 85,94,57,035 "," 88,75,47,868 "," 1,31,79,84,863 ",Apple TV+,2,8
14535,College something happen between," 1,46,87,92,600 "," 54,78,92,288 "," 67,27,12,942 "," 1,08,10,92,468 "," 1,84,35,39,843 ",Crunchyroll,8,5
14658,Already make assume," 10,60,08,36,800 "," 39,16,19,743 "," 37,61,35,123 "," 89,61,71,469 "," 1,51,29,73,588 ",Amazon Prime,24,7
15066,Collection message boy," 3,03,73,78,400 ",$572313888," 38,74,29,277 "," 94,43,17,915 "," 1,35,80,71,688 ",Crunchyroll,10,6
15335,Determine expect big," 6,76,17,45,000 "," 43,34,88,618 "," 59,05,19,914 ",$715256219.7," 1,16,76,20,552 ",VRV,29,7
15459,Education talk money life," 61,19,92,600 "," 57,65,81,463 "," 44,11,99,089 "," 95,13,59,414 ",$1498067456.57446,Amazon Prime,11,6
15640,Case structure," 13,39,08,76,600 "," 40,36,31,674 "," 49,90,04,420 "," 66,59,92,262 "," 98,93,63,627 ",Crunchyroll,26,8
15739,Father yes tell," 3,98,66,57,400 "," 51,65,58,461 "," 31,78,06,375 "," 85,23,21,461 "," 1,23,88,98,313 ",HBO Max,18,8
15856,Do hope," 9,35,95,92,800 "," 44,46,62,062 "," 62,24,81,530 "," 73,36,92,402 "," 1,22,03,50,912 ",YouTube PremiumNetflixHulu,23,8
15878,Coach bill with," 8,35,67,97,600 "," 36,79,36,873 "," 27,50,23,332 "," 82,24,47,236 "," 1,45,74,93,029 ",YouTube PremiumHBO Max,16,7
15893,Easy fund decide find," 10,30,63,37,800 "," 37,54,06,172 "," 53,53,41,372 "," 61,94,20,184 "," 99,22,28,677 ",FunimationNetflixTubi,17,8
