Anime ID,Title,Producers,Streaming Platform,Genre,Type,Studio,Source,A/R Ratings
416,Ability enter,"Aniplex, TV Tokyo",YouTube PremiumApple TV+,DramaAction,ONA,Toei Animation,Original,G
447,Although,"Bandai Namco, Aniplex",Hulu,Comedy,TV,MAPPA,Visual Novel,PG
471,Dog office into,"Aniplex, TV Tokyo",Apple TV+Hulu,HorrorAction,OVA,Kyoto Animation,Game,PG
556,Fall kitchen through,Kadokawa,Hulu,RomanceActionAdventure,TV,A-1 Pictures,Game,PG-13
723,Decision service,Shueisha,YouTube PremiumVRV,Drama,TV,Ufotable,Original,R
759,Action clearly short,Shueisha,Apple TV+,Slice of LifeDramaSupernatural,TV,Ufotable,Original,G
762,Admit place,"Aniplex, TV Tokyo",Netflix,MysteryRomance,OVA,Bones,Original,PG
880,Edge music,"Kadokawa, Bandai Namco",Hulu,AdventureAction,ONA,Wit Studio,Webtoon,G
1400,Boy game,TV Tokyo,TubiFunimationYouTube Premium,Mystery,ONA,Toei Animation,Visual Novel,PG
1481,Area mission,"Kadokawa, TV Tokyo",HBO Max,Sci-FiDramaAction,TV,Madhouse,Webtoon,PG
1658,Expect must south,Bandai Namco,NetflixHulu,Supernatural,OVA,Bones,Manga,PG
1831,Arrive turn go,Bandai Namco,YouTube Premium,ActionFantasySlice of Life,TV,Madhouse,Game,G
1844,Carry wonder,Shueisha,Amazon PrimeHulu,MysteryFantasyHorror,ONA,Sunrise,Visual Novel,G
2275,Accept inside information,Kadokawa,HuluCrunchyrollDisney+,MysterySupernatural,TV,Wit Studio,Manga,G
2368,Argue south,"Shueisha, Kadokawa",VRV,DramaSci-Fi,ONA,Sunrise,Game,PG
2547,Avoid seek,"Bandai Namco, Aniplex",Tubi,Comedy,Special,Wit Studio,Game,PG-13
2618,Artist focus big spring,Kadokawa,NetflixVRVFunimation,Sci-FiFantasyComedy,TV,Bones,Visual Novel,R
3171,At spend well,"Shueisha, Kadokawa",YouTube PremiumTubi,Comedy,TV,Ufotable,Visual Novel,PG
3239,City report,"Shueisha, TV Tokyo",YouTube PremiumCrunchyroll,DramaComedySupernatural,ONA,MAPPA,Game,PG
3355,Ever as group,Kodansha,CrunchyrollAmazon PrimeHulu,Romance,Special,J.C.Staff,Visual Novel,PG-13
3467,Appear trade peace,TV Tokyo,HuluYouTube Premium,Action,OVA,A-1 Pictures,Light Novel,G
3702,Above focus pretty,Aniplex,NetflixVRVHulu,HorrorAdventure,TV,MAPPA,Original,R
3833,End almost,Shueisha,VRV,Romance,TV,A-1 Pictures,Game,PG
3876,Ago including,Aniplex,VRVNetflix,Supernatural,OVA,MAPPA,Webtoon,PG-13
3915,Discover child play,Aniplex,NetflixDisney+Amazon Prime,Supernatural,OVA,Kyoto Animation,Webtoon,R
4037,Benefit law,Kadokawa,YouTube PremiumNetflixCrunchyroll,FantasyDrama,ONA,Bones,Game,R
4554,Another leave,"Kadokawa, TV Tokyo",Disney+,MysterySci-FiAdventure,Special,Ufotable,Webtoon,R
4601,Employee join natural,"Kadokawa, Shueisha",Disney+,AdventureRomance,Special,Wit Studio,Light Novel,PG-13
4753,Common later,Kodansha,TubiCrunchyroll,Drama,ONA,MAPPA,Visual Novel,PG-13
5064,Actually reach fall,Bandai Namco,HBO Max,Adventure,ONA,MAPPA,Game,PG-13
5232,After happy including,Bandai Namco,VRV,Fantasy,Special,MAPPA,Manga,R
5295,Down food,Aniplex,HuluCrunchyrollDisney+,DramaSupernaturalAction,TV,Bones,Light Novel,R
5553,Child up mouth,Bandai Namco,HuluTubiApple TV+,Sci-FiSupernatural,Special,Bones,Game,PG
5627,Above change,TV Tokyo,HuluNetflix,AdventureHorrorSlice of Life,ONA,Kyoto Animation,Original,G
5634,Door pattern anyone short,TV Tokyo,CrunchyrollHuluHBO Max,Comedy,Special,Wit Studio,Manga,R
5651,Conference true he,"TV Tokyo, Bandai Namco",YouTube Premium,ActionSlice of Life,ONA,Ufotable,Webtoon,R
5690,Book,"Aniplex, TV Tokyo",TubiApple TV+,FantasySci-FiMystery,OVA,Bones,Manga,G
5735,Allow,Kadokawa,Crunchyroll,Fantasy,TV,MAPPA,Webtoon,G
5771,Analysis hospital,Aniplex,Apple TV+,Drama,TV,Wit Studio,Visual Novel,R
5853,Available discussion,"Shueisha, Bandai Namco",Hulu,FantasySupernaturalSci-Fi,TV,Toei Animation,Game,R
5966,Example operation there,"Bandai Namco, Aniplex",Amazon PrimeDisney+,Supernatural,Special,Wit Studio,Original,R
6163,Edge himself,Bandai Namco,Apple TV+,Mystery,TV,Wit Studio,Visual Novel,G
6186,Budget sit production hard,Shueisha,VRVNetflixCrunchyroll,HorrorAction,OVA,Sunrise,Webtoon,PG
6494,Fall avoid law,Kadokawa,YouTube PremiumHuluHBO Max,Slice of LifeRomance,OVA,Ufotable,Light Novel,PG-13
6712,Conference human,Aniplex,FunimationDisney+,MysteryAdventureSlice of Life,Special,Ufotable,Light Novel,R
6872,Decision trip,"Aniplex, TV Tokyo",TubiDisney+,DramaFantasy,ONA,Madhouse,Visual Novel,G
7109,Any,"Bandai Namco, Aniplex",YouTube PremiumAmazon Prime,SupernaturalRomance,Special,Ufotable,Original,PG-13
7228,Also though,"Kodansha, Aniplex",Netflix,Romance,TV,Sunrise,Original,G
7607,Address company,"Shueisha, Aniplex",YouTube Premium,DramaSci-FiAction,OVA,Wit Studio,Original,R
7847,Establish should,Bandai Namco,Apple TV+Netflix,Comedy,TV,Madhouse,Original,PG
8232,Build fast dream attention,Shueisha,Disney+,Horror,OVA,Madhouse,Original,PG
8403,Among set face,"Shueisha, Bandai Namco",VRVCrunchyroll,Sci-FiSupernatural,ONA,Toei Animation,Visual Novel,PG-13
8487,Congress guess,"Kodansha, Aniplex",Netflix,Romance,Special,Bones,Visual Novel,R
8964,Direction Congress effect,Bandai Namco,TubiHBO Max,Sci-FiActionAdventure,Special,MAPPA,Original,G
9042,Carry live too,Aniplex,VRVFunimationHulu,Sci-FiComedy,Special,Kyoto Animation,Visual Novel,R
9116,Across book check,"Aniplex, Bandai Namco",NetflixFunimation,Supernatural,Special,Sunrise,Light Novel,PG-13
9634,Both week production,"Bandai Namco, Aniplex",Amazon Prime,ComedyRomanceAction,ONA,Ufotable,Light Novel,PG
9724,Economic somebody,"TV Tokyo, Bandai Namco",Crunchyroll,Comedy,Special,Ufotable,Visual Novel,G
9882,Describe develop,"Aniplex, Shueisha",Amazon PrimeHBO MaxTubi,RomanceComedyDrama,TV,J.C.Staff,Light Novel,PG
9926,Cup own describe,Shueisha,Apple TV+Crunchyroll,MysteryHorror,Special,Ufotable,Original,PG
10128,Computer pretty bad,Shueisha,HBO Max,ActionSupernatural,TV,Sunrise,Original,G
10153,Check society American,"TV Tokyo, Bandai Namco",Amazon Prime,DramaComedyRomance,ONA,Madhouse,Light Novel,PG
10279,Blood,"Kodansha, Shueisha",VRVAmazon Prime,Sci-FiSlice of Life,TV,Kyoto Animation,Manga,R
10386,Almost from,"Aniplex, Bandai Namco",Amazon Prime,Slice of LifeHorrorAction,Special,Kyoto Animation,Visual Novel,PG
10507,Center reason story,"Kodansha, Kadokawa",NetflixDisney+VRV,SupernaturalFantasy,ONA,Wit Studio,Game,PG
10578,Choose dog coach my,Bandai Namco,Crunchyroll,HorrorAdventureMystery,OVA,J.C.Staff,Visual Novel,PG
10596,Account history with from,Bandai Namco,Amazon PrimeDisney+Apple TV+,ActionComedy,TV,MAPPA,Game,G
10662,Choice decade adult,Kadokawa,Amazon Prime,ComedyHorror,TV,Ufotable,Manga,R
10953,Black Democrat,Kodansha,Disney+Amazon Prime,Slice of LifeMystery,Special,Bones,Original,PG-13
11393,Beautiful your,"Shueisha, TV Tokyo",Apple TV+,Action,ONA,Toei Animation,Original,PG-13
11574,Almost attack,"TV Tokyo, Shueisha",Hulu,ComedySlice of Life,OVA,Toei Animation,Game,PG
12025,Anything particularly once,"Bandai Namco, Shueisha",CrunchyrollHBO MaxFunimation,Supernatural,OVA,Wit Studio,Webtoon,PG
12123,Consider when board,"TV Tokyo, Aniplex",Disney+FunimationTubi,Horror,OVA,Bones,Game,R
12502,Factor become alone,Shueisha,NetflixAmazon Prime,Fantasy,TV,Kyoto Animation,Game,PG-13
12541,Also day worry,"Kodansha, TV Tokyo",Funimation,DramaMystery,Special,Bones,Visual Novel,PG-13
13027,Concern small she,"Bandai Namco, Kodansha",Disney+Amazon PrimeFunimation,HorrorAdventure,TV,Bones,Game,PG-13
13047,Eight have,Aniplex,Apple TV+Netflix,Sci-FiMysterySupernatural,ONA,Ufotable,Light Novel,G
13128,Cultural a,"Shueisha, Kadokawa",NetflixTubi,Adventure,Special,J.C.Staff,Manga,PG-13
13203,Along important,Bandai Namco,CrunchyrollNetflix,ActionSci-Fi,Special,A-1 Pictures,Game,R
13371,Can culture,"Kodansha, Aniplex",HBO MaxHulu,SupernaturalAdventureDrama,Special,Bones,Manga,G
13373,Control officer detail,Shueisha,HuluTubiAmazon Prime,Action,Special,Bones,Webtoon,PG
13407,Administration personal teach light,TV Tokyo,Disney+,ComedyDramaAdventure,Special,Toei Animation,Webtoon,R
13521,Congress notice,"Shueisha, Kodansha",HBO MaxFunimationApple TV+,DramaFantasy,Special,Kyoto Animation,Webtoon,PG
13720,Admit every dream,"Bandai Namco, Aniplex",FunimationApple TV+Tubi,AdventureComedy,ONA,Ufotable,Visual Novel,G
13740,Environmental still agreement,"Bandai Namco, TV Tokyo",CrunchyrollTubiYouTube Premium,Fantasy,OVA,Madhouse,Visual Novel,R
14434,Benefit shake different,Kadokawa,Apple TV+,DramaSupernatural,Special,Sunrise,Visual Novel,PG
14535,College something happen between,"Bandai Namco, Kodansha",Crunchyroll,Sci-FiFantasy,ONA,Wit Studio,Light Novel,R
14658,Already make assume,"Kodansha, Bandai Namco",Amazon Prime,Drama,TV,MAPPA,Visual Novel,PG-13
15066,Collection message boy,"Kodansha, Bandai Namco",Crunchyroll,MysteryComedySupernatural,OVA,Madhouse,Webtoon,R
15335,Determine expect big,Aniplex,VRV,Supernatural,TV,J.C.Staff,Original,PG
15459,Education talk money life,Shueisha,Amazon Prime,ActionSupernatural,TV,Wit Studio,Light Novel,R
15640,Case structure,Shueisha,Crunchyroll,RomanceSci-Fi,OVA,A-1 Pictures,Manga,R
15739,Father yes tell,Kodansha,HBO Max,DramaAction,OVA,Toei Animation,Original,PG
15856,Do hope,Kodansha,YouTube PremiumNetflixHulu,Drama,Special,A-1 Pictures,Original,PG-13
15878,Coach bill with,Kadokawa,YouTube PremiumHBO Max,Mystery,ONA,Kyoto Animation,Visual Novel,G
15893,Easy fund decide find,"Shueisha, Kadokawa",FunimationNetflixTubi,SupernaturalAdventureDrama,OVA,J.C.Staff,Webtoon,PG
16279,Decade hit,Shueisha,CrunchyrollDisney+Amazon Prime,ActionMystery,ONA,Bones,Webtoon,R
16483,Arrive plan,Bandai Namco,VRVDisney+,Slice of LifeMysteryFantasy,TV,Sunrise,Visual Novel,PG-13
16552,Although energy three,TV Tokyo,VRV,SupernaturalSlice of Life,Special,A-1 Pictures,Webtoon,PG-13
16569,Different reason,"Bandai Namco, Kodansha",Crunchyroll,DramaSci-FiSlice of Life,TV,Bones,Manga,PG-13
16667,Describe someone father,Bandai Namco,HBO MaxVRV,Slice of Life,ONA,Madhouse,Game,G
16730,Company table establish,"Kadokawa, Shueisha",Disney+Crunchyroll,AdventureDramaSlice of Life,TV,Wit Studio,Light Novel,G
16826,Arrive wrong,Shueisha,NetflixTubiHulu,Slice of LifeSci-FiSupernatural,Special,Wit Studio,Manga,PG-13
16910,Action not,Kodansha,NetflixHBO MaxHulu,SupernaturalDrama,OVA,A-1 Pictures,Original,PG-13
16971,Carry husband government,Kodansha,Hulu,Supernatural,Special,MAPPA,Game,R
17171,Condition here blue,"Bandai Namco, Kodansha",Netflix,MysteryDramaRomance,ONA,Kyoto Animation,Webtoon,G
17331,Do picture free network,Aniplex,HuluFunimation,ComedySupernaturalDrama,OVA,Ufotable,Game,PG
17885,Discover security,Bandai Namco,Disney+HBO MaxYouTube Premium,Slice of LifeDramaFantasy,Special,Bones,Manga,PG
18123,Between ahead,Kadokawa,Apple TV+NetflixTubi,Mystery,OVA,Toei Animation,Original,R
18621,Cell dog own,"Kodansha, Bandai Namco",Disney+CrunchyrollYouTube Premium,Slice of LifeComedy,OVA,Bones,Webtoon,PG
18659,Class leg decide,Shueisha,Hulu,MysterySci-Fi,OVA,Ufotable,Manga,R
19005,City who morning,"Aniplex, Kodansha",HBO Max,ActionHorror,OVA,Ufotable,Visual Novel,G
19035,By positive,Bandai Namco,TubiApple TV+,DramaFantasy,Special,Sunrise,Manga,R
19067,Church scientist southern federal,Bandai Namco,Apple TV+HBO Max,Slice of LifeHorror,TV,A-1 Pictures,Game,R
19127,East all,Bandai Namco,HBO MaxHulu,SupernaturalSlice of LifeFantasy,Special,A-1 Pictures,Original,PG
19453,Center easy some,TV Tokyo,HuluDisney+,DramaAdventure,Special,Bones,Original,R
19567,Cause must blood,"Bandai Namco, Aniplex",VRVTubiHBO Max,ComedyRomanceSci-Fi,Special,Wit Studio,Light Novel,PG-13
19578,Claim environmental detail,"Shueisha, Kadokawa",Amazon PrimeYouTube Premium,HorrorMysterySlice of Life,Special,Ufotable,Game,R
19731,Develop behavior need,Kadokawa,Hulu,ActionSci-Fi,Special,Ufotable,Original,R
19811,Beat ever,"Bandai Namco, TV Tokyo",FunimationDisney+,Adventure,ONA,Madhouse,Manga,G
19838,Blue suggest,TV Tokyo,HBO MaxNetflix,HorrorAction,ONA,Ufotable,Light Novel,R
19846,Attack both,"Aniplex, Kodansha",TubiCrunchyrollApple TV+,ComedyMystery,TV,Bones,Webtoon,R
19904,Discuss must,Kadokawa,Netflix,Supernatural,TV,Toei Animation,Original,PG
